,County,County Code,Year,Year Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,State
608,Osceola County,12097.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,FL
610,Palm Beach County,12099.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,170.0,FL
611,Palm Beach County,12099.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,26.0,FL
615,Pasco County,12101.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,72.0,FL
616,Pasco County,12101.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0,FL
619,Pinellas County,12103.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,142.0,FL
620,Pinellas County,12103.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,40.0,FL
623,Polk County,12105.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,51.0,FL
624,Polk County,12105.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0,FL
627,Putnam County,12107.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,FL
629,St. Johns County,12109.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,FL
632,St. Lucie County,12111.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0,FL
635,Santa Rosa County,12113.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,FL
638,Sarasota County,12115.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,47.0,FL
639,Sarasota County,12115.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,12.0,FL
642,Seminole County,12117.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,FL
650,Volusia County,12127.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,60.0,FL
651,Volusia County,12127.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,14.0,FL
3361,Anderson County,48001.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,TX
3377,Bexar County,48029.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,92.0,TX
3378,Bexar County,48029.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,20.0,TX
3379,Bexar County,48029.0,2004.0,2004.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,15.0,TX
3386,Brazoria County,48039.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,TX
3400,Cameron County,48061.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,TX
3414,Collin County,48085.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0,TX
3415,Collin County,48085.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,TX
3431,Dallas County,48113.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,144.0,TX
3432,Dallas County,48113.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,22.0,TX
3433,Dallas County,48113.0,2004.0,2004.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,20.0,TX
3440,Denton County,48121.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,TX
3448,Ector County,48135.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,TX
3452,El Paso County,48141.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0,TX
3468,Galveston County,48167.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,TX
3486,Harris County,48201.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,293.0,TX
3487,Harris County,48201.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,62.0,TX
3498,Hidalgo County,48215.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,TX
3515,Jefferson County,48245.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,TX
3542,Lubbock County,48303.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,TX
3547,McLennan County,48309.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,TX
3564,Montgomery County,48339.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0,TX
3574,Nueces County,48355.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,TX
3575,Nueces County,48355.0,2004.0,2004.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,11.0,TX
3580,Orange County,48361.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,TX
3584,Parker County,48367.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,TX
3614,Smith County,48423.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,TX
3623,Tarrant County,48439.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,108.0,TX
3624,Tarrant County,48439.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,13.0,TX
3627,Taylor County,48441.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,TX
3634,Travis County,48453.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,74.0,TX
3635,Travis County,48453.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,17.0,TX
3650,Webb County,48479.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,TX
3654,Wichita County,48485.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,TX
3659,Williamson County,48491.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,TX
3879,Benton County,53005.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,WA
3883,Clallam County,53009.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,WA
3886,Clark County,53011.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0,WA
3890,Cowlitz County,53015.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,WA
3897,Grant County,53025.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,WA
3900,Grays Harbor County,53027.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,WA
3906,King County,53033.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,180.0,WA
3907,King County,53033.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,35.0,WA
3908,King County,53033.0,2004.0,2004.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,19.0,WA
3912,Kitsap County,53035.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,WA
3924,Pierce County,53053.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,59.0,WA
3925,Pierce County,53053.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,13.0,WA
3929,Skagit County,53057.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,WA
3933,Snohomish County,53061.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,82.0,WA
3934,Snohomish County,53061.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,18.0,WA
3937,Spokane County,53063.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,59.0,WA
3938,Spokane County,53063.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,19.0,WA
3942,Thurston County,53067.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,WA
3947,Whatcom County,53073.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,WA
3951,Yakima County,53077.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,WA
510,Bay County,12005.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,FL
514,Brevard County,12009.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,90.0,FL
515,Brevard County,12009.0,2005.0,2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,29.0,FL
518,Broward County,12011.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,224.0,FL
519,Broward County,12011.0,2005.0,2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,35.0,FL
520,Broward County,12011.0,2005.0,2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,18.0,FL
525,Charlotte County,12015.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,FL
528,Citrus County,12017.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,FL
531,Clay County,12019.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,FL
534,Collier County,12021.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,43.0,FL
537,Columbia County,12023.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,FL
541,Duval County,12031.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,84.0,FL
542,Duval County,12031.0,2005.0,2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,18.0,FL
545,Escambia County,12033.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,32.0,FL
557,Hernando County,12053.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,FL
561,Hillsborough County,12057.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,139.0,FL
562,Hillsborough County,12057.0,2005.0,2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,23.0,FL
567,Indian River County,12061.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,FL
573,Lake County,12069.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,FL
576,Lee County,12071.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,70.0,FL
577,Lee County,12071.0,2005.0,2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0,FL
580,Leon County,12073.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,FL
586,Manatee County,12081.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,43.0,FL
589,Marion County,12083.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0,FL
592,Martin County,12085.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,FL
595,Miami-Dade County,12086.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,105.0,FL
596,Miami-Dade County,12086.0,2005.0,2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,19.0,FL
602,Nassau County,12089.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,FL
604,Okaloosa County,12091.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,FL
609,Orange County,12095.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,74.0,FL
610,Orange County,12095.0,2005.0,2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,16.0,FL
613,Osceola County,12097.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,FL
616,Palm Beach County,12099.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,190.0,FL
617,Palm Beach County,12099.0,2005.0,2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,25.0,FL
618,Palm Beach County,12099.0,2005.0,2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,14.0,FL
621,Pasco County,12101.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,74.0,FL
622,Pasco County,12101.0,2005.0,2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,FL
626,Pinellas County,12103.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,145.0,FL
627,Pinellas County,12103.0,2005.0,2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,31.0,FL
631,Polk County,12105.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,48.0,FL
632,Polk County,12105.0,2005.0,2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,12.0,FL
639,St. Lucie County,12111.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,FL
642,Santa Rosa County,12113.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,FL
644,Sarasota County,12115.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,60.0,FL
647,Seminole County,12117.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0,FL
648,Seminole County,12117.0,2005.0,2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0,FL
655,Volusia County,12127.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,67.0,FL
656,Volusia County,12127.0,2005.0,2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,18.0,FL
660,Walton County,12131.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,FL
3447,Bell County,48027.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,TX
3449,Bexar County,48029.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,140.0,TX
3450,Bexar County,48029.0,2005.0,2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,26.0,TX
3457,Brazoria County,48039.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0,TX
3470,Cameron County,48061.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,TX
3484,Collin County,48085.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,32.0,TX
3499,Dallas County,48113.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,169.0,TX
3500,Dallas County,48113.0,2005.0,2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,32.0,TX
3501,Dallas County,48113.0,2005.0,2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,27.0,TX
3508,Denton County,48121.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,32.0,TX
3517,Ector County,48135.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,TX
3521,El Paso County,48141.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,40.0,TX
3531,Fort Bend County,48157.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,TX
3538,Galveston County,48167.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,44.0,TX
3547,Gregg County,48183.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,TX
3556,Hardin County,48199.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,TX
3558,Harris County,48201.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,290.0,TX
3559,Harris County,48201.0,2005.0,2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,40.0,TX
3586,Jefferson County,48245.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,TX
3614,Lubbock County,48303.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,TX
3619,McLennan County,48309.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,TX
3630,Midland County,48329.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,TX
3637,Montgomery County,48339.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,41.0,TX
3647,Nueces County,48355.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0,TX
3648,Nueces County,48355.0,2005.0,2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,11.0,TX
3653,Orange County,48361.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,TX
3693,Tarrant County,48439.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,91.0,TX
3694,Tarrant County,48439.0,2005.0,2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,18.0,TX
3698,Taylor County,48441.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,TX
3705,Travis County,48453.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,61.0,TX
3706,Travis County,48453.0,2005.0,2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,23.0,TX
3721,Webb County,48479.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,TX
3726,Wichita County,48485.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,TX
3731,Williamson County,48491.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,TX
3956,Benton County,53005.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,WA
3960,Clallam County,53009.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,WA
3962,Clark County,53011.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0,WA
3963,Clark County,53011.0,2005.0,2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,WA
3967,Cowlitz County,53015.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0,WA
3974,Grant County,53025.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,WA
3980,King County,53033.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,189.0,WA
3981,King County,53033.0,2005.0,2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,37.0,WA
3985,Kitsap County,53035.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,WA
3990,Lewis County,53041.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,WA
3997,Pierce County,53053.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,69.0,WA
3998,Pierce County,53053.0,2005.0,2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,16.0,WA
4002,Skagit County,53057.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,WA
4006,Snohomish County,53061.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,84.0,WA
4007,Snohomish County,53061.0,2005.0,2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,WA
4010,Spokane County,53063.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,74.0,WA
4011,Spokane County,53063.0,2005.0,2005.0,Drug poisonings (overdose) Suicide (X60-X64),D2,17.0,WA
4015,Thurston County,53067.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,WA
4020,Whatcom County,53073.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,WA
4024,Yakima County,53077.0,2005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,WA
517,Bay County,12005.0,2006.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,FL
522,Brevard County,12009.0,2006.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,81.0,FL
523,Brevard County,12009.0,2006.0,2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,16.0,FL
524,Brevard County,12009.0,2006.0,2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0,FL
527,Broward County,12011.0,2006.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,215.0,FL
528,Broward County,12011.0,2006.0,2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,33.0,FL
529,Broward County,12011.0,2006.0,2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0,FL
537,Citrus County,12017.0,2006.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,FL
540,Clay County,12019.0,2006.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,FL
543,Collier County,12021.0,2006.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,43.0,FL
549,Duval County,12031.0,2006.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,124.0,FL
550,Duval County,12031.0,2006.0,2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,22.0,FL
554,Escambia County,12033.0,2006.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,45.0,FL
566,Hernando County,12053.0,2006.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,FL
570,Hillsborough County,12057.0,2006.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,158.0,FL
571,Hillsborough County,12057.0,2006.0,2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,27.0,FL
576,Indian River County,12061.0,2006.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,FL
582,Lake County,12069.0,2006.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,FL
585,Lee County,12071.0,2006.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,82.0,FL
586,Lee County,12071.0,2006.0,2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,16.0,FL
594,Manatee County,12081.0,2006.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,43.0,FL
595,Manatee County,12081.0,2006.0,2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0,FL
598,Marion County,12083.0,2006.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,55.0,FL
601,Martin County,12085.0,2006.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,FL
604,Miami-Dade County,12086.0,2006.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,125.0,FL
605,Miami-Dade County,12086.0,2006.0,2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,17.0,FL
609,Monroe County,12087.0,2006.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,FL
613,Okaloosa County,12091.0,2006.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0,FL
618,Orange County,12095.0,2006.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,88.0,FL
619,Orange County,12095.0,2006.0,2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,20.0,FL
622,Osceola County,12097.0,2006.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,FL
625,Palm Beach County,12099.0,2006.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,162.0,FL
626,Palm Beach County,12099.0,2006.0,2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,28.0,FL
627,Palm Beach County,12099.0,2006.0,2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,21.0,FL
631,Pasco County,12101.0,2006.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,81.0,FL
632,Pasco County,12101.0,2006.0,2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,20.0,FL
